Date,Description,Amount,Category
2024-09-25,Bike Service,730,Transport
2024-01-28,Doctor Visit,1891,Health
2024-01-07,Books Purchase Jan,2211,Education
2024-01-26,Doctor Visit,1961,Health
2024-05-25,Grocery Store,6593,Shopping
2024-09-01,Mobile Package,831,Bills & Rent
2024-09-11,Clothes Shopping,2136,Shopping
2024-02-21,Bike Service Payment,1326,Transport
2024-02-19,Electricity Bill Feb,7889,Bills & Rent
2024-02-08,Cinema,1010,Entertainment
2024-08-28,Rickshaw Monthly,247,Transport
2024-06-13,Family Outing Payment,4383,Entertainment
2024-09-12,University Fee,22939,Education
2024-01-21,Doctor Visit,1313,Health
2024-04-23,Medicine Purchase Bill,464,Health
2024-03-22,Rickshaw,134,Transport
2024-03-02,Netflix,993,Entertainment
2024-11-14,Chai,64,Food
2024-10-05,Stationery,1032,Education
2024-03-11,Lab Test,3755,Health
2024-02-16,Stationery,1056,Education
2024-09-29,University Fee,9930,Education
2024-06-03,Cinema,1490,Entertainment
2024-02-16,Internet Bill,3881,Bills & Rent
2024-11-24,Medicine Purchase,707,Health
2024-01-30,Grocery Store,6262,Shopping
2024-04-09,Family Outing,1622,Entertainment
2024-02-11,Petrol Online,8698,Transport
2024-03-08,Netflix,1193,Entertainment
2024-06-22,Fruit Vendor Payment,791,Food
2024-08-16,University Fee,20257,Education
2024-01-04,Books Purchase,2869,Education
2024-09-06,Netflix,1254,Entertainment
2024-09-05,Medicine Purchase Jan,2118,Health
2024-09-06,Lab Test,2942,Health
2024-03-16,Gas Bill Mar,1474,Bills & Rent
2024-02-27,Internet Bill Payment,2289,Bills & Rent
2024-11-11,Gas Bill,1009,Bills & Rent
2024-05-26,Mobile Package,957,Bills & Rent
2024-09-23,Grocery Store Monthly,7433,Shopping
2024-05-03,University Fee,17665,Education
2024-06-14,Family Dinner Jan,1404,Food
2024-05-03,Student Biryani,349,Food
2024-12-05,Doctor Visit,2690,Health
2024-10-25,Medical Store Payment,2853,Shopping
2024-12-22,Milk,268,Food
2024-12-23,Rickshaw Jan,146,Transport
2024-05-29,Family Dinner,2436,Food
2024-04-28,Bike Service,1693,Transport
2024-03-01,Family Dinner Payment,1538,Food
2024-11-24,Stationery Cash,404,Education
2024-02-27,Milk Payment,245,Food
2024-12-04,University Fee,19655,Education
2024-03-12,Family Outing Bill,3728,Entertainment
2024-07-13,Doctor Visit,2313,Health
2024-02-04,House Rent Jan,22523,Bills & Rent
2024-08-24,Family Outing Jan,1720,Entertainment
2024-12-16,Electricity Bill,11620,Bills & Rent
2024-08-12,Doctor Visit Cash,877,Health
2024-11-19,University Fee Cash,19297,Education
2024-01-20,Medical Store,2845,Shopping
2024-01-30,Bike Service,1017,Transport
2024-09-20,Lab Test,2682,Health
2024-04-03,Electricity Bill,2596,Bills & Rent
2024-12-25,Water Bill Online,470,Bills & Rent
2024-12-19,Chai,90,Food
2024-11-12,Doctor Visit,2680,Health
2024-06-05,Bykea Ride Cash,224,Transport
2024-01-16,Petrol Monthly,4418,Transport
2024-11-21,Chai Feb,69,Food
2024-09-03,Chai Cash,73,Food
2024-07-29,Gas Bill Feb,1174,Bills & Rent
2024-11-06,Clothes Shopping,5637,Shopping
2024-12-18,Family Outing,2696,Entertainment
2024-03-17,Family Outing,2416,Entertainment
2024-07-02,Stationery,865,Education
2024-11-02,Stationery,1159,Education
2024-12-09,Clothes Shopping,5016,Shopping
2024-05-20,Gas Bill,545,Bills & Rent
2024-01-16,Netflix,1270,Entertainment
2024-02-06,Books Purchase,2018,Education
2024-07-10,Bus Ticket,63,Transport
2024-09-08,Family Dinner,1834,Food
2024-08-08,Family Outing,4343,Entertainment
2024-08-15,Grocery Store,5281,Shopping
2024-07-25,Office Lunch Feb,497,Food
2024-07-23,Doctor Visit Payment,2915,Health
2024-01-22,Books Purchase Feb,1375,Education
2024-10-05,Petrol,3181,Transport
2024-01-21,University Fee Mar,24904,Education
2024-12-09,Fruit Vendor,327,Food
2024-05-17,Books Purchase Jan,2369,Education
2024-03-11,House Rent Online,32701,Bills & Rent
2024-08-08,House Rent Online,36212,Bills & Rent
2024-10-23,Netflix,1017,Entertainment
2024-03-02,Doctor Visit,1769,Health
2024-08-24,Medicine Purchase Cash,1725,Health
2024-11-24,Rickshaw,192,Transport
2024-03-21,Shoes,2829,Shopping
2024-07-27,Mobile Package Mar,1235,Bills & Rent
2024-05-31,Gas Bill,1074,Bills & Rent
2024-05-30,Cinema Jan,1063,Entertainment
2024-05-14,Mobile Package,1383,Bills & Rent
2024-09-18,Stationery,1200,Education
2024-08-08,Chai Monthly,103,Food
2024-09-14,Grocery Store,7285,Shopping
2024-02-13,Bike Service,1771,Transport
2024-06-03,University Fee Payment,13004,Education
2024-12-16,Internet Bill,3218,Bills & Rent
2024-05-16,Fruit Vendor,791,Food
2024-08-11,Bike Service,1288,Transport
2024-06-05,Bykea Ride,193,Transport
2024-04-17,Rickshaw Mar,286,Transport
2024-05-26,Family Outing,2400,Entertainment
2024-02-22,Office Lunch Bill,328,Food
2024-10-31,Mobile Package,1117,Bills & Rent
2024-05-01,Rickshaw,207,Transport
2024-10-14,Family Outing,1926,Entertainment
2024-03-08,Water Bill,378,Bills & Rent
2024-08-13,Lab Test,1415,Health
2024-09-07,Lab Test,1194,Health
2024-11-30,Shoes Bill,2724,Shopping
2024-01-27,Doctor Visit,1490,Health
2024-12-12,Rickshaw,175,Transport
2024-10-19,Clothes Shopping,2821,Shopping
2024-05-22,Family Dinner,1869,Food
2024-10-09,Medicine Purchase Online,2950,Health
2024-06-19,Books Purchase,2060,Education
2024-06-27,Mobile Package Payment,1304,Bills & Rent
2024-01-05,Internet Bill,2696,Bills & Rent
2024-09-16,Milk,280,Food
2024-08-03,Bykea Ride,200,Transport
2024-04-28,Shoes,4225,Shopping
2024-03-24,Medical Store,330,Shopping
2024-02-15,Bykea Ride,232,Transport
2024-03-08,Family Outing,4395,Entertainment
2024-08-14,Bykea Ride Feb,143,Transport
2024-03-14,Doctor Visit Online,2825,Health
2024-11-06,Fruit Vendor,699,Food
2024-09-18,Fruit Vendor,380,Food
2024-08-06,Cinema Feb,916,Entertainment
2024-10-04,Water Bill Online,438,Bills & Rent
2024-05-20,Clothes Shopping,4929,Shopping
2024-11-29,Stationery,844,Education
2024-02-28,Bus Ticket,116,Transport
2024-11-23,University Fee Mar,23499,Education
2024-02-24,Bus Ticket,75,Transport
2024-05-26,Medical Store,848,Shopping
2024-08-26,Netflix,1088,Entertainment
2024-05-06,Electricity Bill,6483,Bills & Rent
2024-07-30,Cinema Payment,1270,Entertainment
2024-09-29,Medicine Purchase,1598,Health
2024-04-06,Fruit Vendor,458,Food
2024-11-28,Netflix,905,Entertainment
2024-10-08,Bike Service Feb,1080,Transport
2024-03-21,Doctor Visit,1318,Health
2024-09-14,Rickshaw,287,Transport
2024-10-21,Medicine Purchase,1194,Health
2024-01-25,Bus Ticket,99,Transport
2024-06-18,Books Purchase,1767,Education
2024-11-11,Lab Test,3779,Health
2024-07-12,Internet Bill,1935,Bills & Rent
2024-07-05,Medical Store Jan,2984,Shopping
2024-06-15,Electricity Bill Cash,9509,Bills & Rent
2024-04-01,Petrol,6440,Transport
2024-08-10,Clothes Shopping,5425,Shopping
2024-03-20,Milk,188,Food
2024-09-16,Cinema,1255,Entertainment
2024-07-03,Mobile Package Bill,1223,Bills & Rent
2024-01-14,Netflix,1016,Entertainment
2024-08-05,Stationery,690,Education
2024-06-14,University Fee Monthly,10769,Education
2024-09-02,University Fee,17573,Education
2024-07-19,Bike Service,1452,Transport
2024-09-18,Milk,272,Food
2024-03-22,Internet Bill Online,2399,Bills & Rent
2024-11-06,Medical Store,2357,Shopping
2024-05-01,Medicine Purchase Online,1291,Health
2024-03-08,Cinema,655,Entertainment
2024-07-02,Student Biryani Payment,307,Food
2024-04-17,Grocery Store,2525,Shopping
2024-04-07,Home Groceries,5380,Food
2024-09-01,Student Biryani Online,222,Food
2024-02-22,Books Purchase,1642,Education
2024-04-30,Home Groceries,3610,Food
2024-09-19,Cinema,1142,Entertainment
2024-01-12,Cinema,1078,Entertainment
2024-12-12,House Rent,22459,Bills & Rent
2024-02-05,Home Groceries,2985,Food
2024-12-03,Petrol Cash,6063,Transport
2024-11-04,Stationery,1017,Education
2024-07-07,Chai Cash,118,Food
2024-02-11,Doctor Visit,1636,Health
2024-04-04,Family Outing,3153,Entertainment
2024-02-06,Gas Bill,437,Bills & Rent
2024-04-02,Doctor Visit,1313,Health
2024-07-26,Chai,62,Food
2024-12-14,Cinema,1046,Entertainment
2024-06-14,Shoes,3448,Shopping
2024-10-09,Medical Store Mar,3349,Shopping
2024-06-08,Office Lunch,460,Food
2024-05-31,Online Order,2927,Shopping
2024-04-16,Clothes Shopping,5290,Shopping
2024-03-30,Doctor Visit Payment,2554,Health
2024-08-31,Milk,208,Food
2024-09-25,Shoes,3611,Shopping
2024-10-06,House Rent,38712,Bills & Rent
2024-02-03,Lab Test,1453,Health
2024-09-11,Cinema,736,Entertainment
2024-07-30,Family Outing,2417,Entertainment
2024-02-02,Fruit Vendor Feb,701,Food
2024-08-09,Family Outing Monthly,4456,Entertainment
2024-02-23,Medicine Purchase Jan,966,Health
2024-08-22,Medicine Purchase,577,Health
2024-12-26,Milk,229,Food
2024-04-21,Cinema,813,Entertainment
2024-08-15,Cinema,1109,Entertainment
2024-10-27,Stationery,677,Education
2024-03-17,Bus Ticket,54,Transport
2024-04-01,Bus Ticket Bill,71,Transport
2024-03-08,Student Biryani,335,Food
2024-03-30,Lab Test Online,1375,Health
2024-01-29,Doctor Visit,1731,Health
2024-08-24,Bike Service Online,1823,Transport
2024-10-05,Milk,268,Food
2024-01-02,Netflix,1102,Entertainment
2024-05-17,Doctor Visit,2383,Health
2024-12-09,Shoes,1565,Shopping
2024-08-04,Family Dinner,2896,Food
2024-08-05,University Fee,17586,Education
2024-04-08,Bykea Ride,139,Transport
2024-07-25,Stationery,1125,Education
2024-04-10,Chai Mar,139,Food
2024-02-21,Bykea Ride,274,Transport
2024-05-25,Chai Online,136,Food
2024-09-09,Grocery Store Jan,5272,Shopping
2024-01-03,University Fee,11696,Education
2024-03-30,Netflix,1065,Entertainment
2024-10-14,Bus Ticket,94,Transport
2024-03-06,Online Order,4419,Shopping
2024-07-25,Family Outing,3754,Entertainment
2024-01-31,Stationery Payment,871,Education
2024-04-21,Medicine Purchase Payment,453,Health
2024-01-05,Netflix Monthly,1241,Entertainment
2024-11-24,Mobile Package Cash,1390,Bills & Rent
2024-08-19,Shoes,3025,Shopping
2024-05-03,Family Outing Feb,1647,Entertainment
2024-06-06,Office Lunch,419,Food
2024-05-08,Doctor Visit,1695,Health
2024-01-24,Bykea Ride,231,Transport
2024-08-27,Petrol,4848,Transport
2024-06-16,Office Lunch,493,Food
2024-02-10,Lab Test Mar,2895,Health
2024-09-10,Cinema Bill,1300,Entertainment
2024-10-16,Electricity Bill,5948,Bills & Rent
2024-11-25,Lab Test,1616,Health
2024-10-11,Cinema,1335,Entertainment
2024-11-17,Clothes Shopping,3813,Shopping
2024-08-23,Books Purchase,1854,Education
2024-12-20,Clothes Shopping,3714,Shopping
2024-05-31,Family Outing,3103,Entertainment
2024-02-03,Gas Bill,2220,Bills & Rent
2024-03-19,Mobile Package,546,Bills & Rent
2024-11-18,Lab Test Payment,3288,Health
2024-06-20,University Fee,18101,Education
2024-01-09,Cinema Jan,882,Entertainment
2024-08-18,Rickshaw Payment,160,Transport
2024-05-27,Petrol,3582,Transport
2024-02-14,Student Biryani,245,Food
2024-06-30,Doctor Visit,1043,Health
2024-04-30,Fruit Vendor Monthly,542,Food
2024-10-22,Student Biryani Payment,289,Food
2024-05-19,Student Biryani,339,Food
2024-06-26,University Fee,11450,Education
2024-08-16,Rickshaw Bill,244,Transport
2024-07-04,Internet Bill,2252,Bills & Rent
2024-05-12,Online Order,5308,Shopping
2024-10-27,Clothes Shopping,2356,Shopping
2024-08-06,Bykea Ride Mar,279,Transport
2024-03-10,Doctor Visit,2594,Health
2024-02-15,University Fee Cash,10503,Education
2024-11-15,Bus Ticket,89,Transport
2024-05-02,Stationery,417,Education
2024-05-09,Mobile Package,940,Bills & Rent
2024-10-04,Doctor Visit,2273,Health
2024-10-06,Family Outing Online,3496,Entertainment
2024-07-05,Petrol,7389,Transport
2024-04-28,Internet Bill,2002,Bills & Rent
2024-01-03,Home Groceries,4927,Food
2024-05-20,Bus Ticket,93,Transport
2024-09-30,Chai Online,91,Food
2024-04-17,Cinema,765,Entertainment
2024-12-01,Home Groceries Payment,2971,Food
2024-03-01,Family Outing Mar,2158,Entertainment
2024-05-22,Medicine Purchase,2899,Health
2024-07-06,Netflix,1234,Entertainment
2024-07-16,Family Outing,2720,Entertainment
2024-03-16,Internet Bill,2589,Bills & Rent
2024-06-13,Books Purchase Online,1519,Education
2024-08-04,Water Bill,448,Bills & Rent
2024-01-08,University Fee Monthly,13600,Education
2024-12-13,Student Biryani,312,Food
2024-06-18,Online Order,1239,Shopping
2024-04-11,Netflix Online,1279,Entertainment
2024-11-25,Fruit Vendor Monthly,467,Food
2024-03-02,Petrol,5173,Transport
2024-11-17,Netflix,1109,Entertainment
2024-04-12,Stationery,799,Education
2024-09-28,University Fee,17650,Education
2024-08-09,Petrol,7933,Transport
2024-08-25,Rickshaw,176,Transport
2024-10-16,Bus Ticket,76,Transport
2024-03-20,Books Purchase,1286,Education
2024-08-22,Mobile Package,637,Bills & Rent
2024-02-21,Books Purchase,886,Education
2024-12-30,Online Order Feb,1092,Shopping
2024-08-04,Bike Service,900,Transport
2024-04-15,Clothes Shopping Mar,3797,Shopping
2024-11-26,Internet Bill,1912,Bills & Rent
2024-12-28,Grocery Store,4472,Shopping
2024-08-19,Shoes,1714,Shopping
2024-03-14,Medicine Purchase,1209,Health
2024-01-08,Bike Service,1942,Transport
2024-02-07,University Fee,9035,Education
2024-02-25,Internet Bill,3725,Bills & Rent
2024-03-06,Lab Test,1821,Health
2024-08-16,House Rent,42570,Bills & Rent
2024-11-07,House Rent,21102,Bills & Rent
2024-12-29,Mobile Package Monthly,971,Bills & Rent
2024-09-22,Bykea Ride,136,Transport
2024-03-19,Doctor Visit,1604,Health
2024-02-07,Bykea Ride,269,Transport
2024-06-10,Internet Bill,2322,Bills & Rent
2024-03-28,Mobile Package Mar,1206,Bills & Rent
2024-01-17,Bus Ticket,115,Transport
2024-09-09,Medicine Purchase,483,Health
2024-10-31,Doctor Visit,2428,Health
2024-01-29,Mobile Package,1489,Bills & Rent
2024-11-02,Books Purchase,1577,Education
2024-12-14,Shoes,3217,Shopping
2024-09-26,House Rent,21294,Bills & Rent
2024-06-15,Doctor Visit,2687,Health
2024-06-10,Bus Ticket,114,Transport
2024-02-01,Books Purchase,805,Education
2024-11-21,Medical Store Online,1272,Shopping
2024-03-13,Bus Ticket,42,Transport
2024-08-05,Netflix,1221,Entertainment
2024-05-10,Stationery,716,Education
2024-05-26,Bus Ticket,63,Transport
2024-05-25,Internet Bill,2299,Bills & Rent
2024-04-03,Office Lunch,370,Food
2024-11-07,Medical Store,2632,Shopping
2024-06-18,Family Outing,1684,Entertainment
2024-03-29,Medical Store,1241,Shopping
2024-10-22,Doctor Visit,1905,Health
2024-02-02,Medicine Purchase Bill,2732,Health
2024-08-22,Bykea Ride,229,Transport
2024-08-12,Medicine Purchase Feb,2533,Health
2024-08-13,Lab Test,2261,Health
2024-05-10,Cinema,851,Entertainment
2024-05-06,Electricity Bill,9805,Bills & Rent
2024-12-02,Grocery Store Jan,6806,Shopping
